"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"BDT2IM5I","journalArticle","2024","Hua, Xuanwen; Han, Keyi; Mandracchia, Biagio; Radmand, Afsane; Liu, Wenhao; Kim, Hyejin; Yuan, Zhou; Ehrlich, Samuel M; Li, Kaitao; Zheng, Corey; Son, Jeonghwan; Silva Trenkle, Aaron D.; Kwong, Gabriel A.; Zhu, Cheng; Dahlman, James E.; Jia, Shu","Light-field flow cytometry for high-resolution, volumetric and multiparametric 3D single-cell analysis","Nature Communications","","20411723","10.1038/s41467-024-46250-7","","Imaging flow cytometry (IFC) combines flow cytometry and fluorescence microscopy to enable high-throughput, multiparametric single-cell analysis with rich spatial details. However, current IFC techniques remain limited in their ability to reveal subcellular information with a high 3D resolution, throughput, sensitivity, and instrumental simplicity. In this study, we introduce a light-field flow cytometer (LFC), an IFC system capable of high-content, single-shot, and multi-color acquisition of up to 5,750 cells per second with a near-diffraction-limited resolution of 400-600 nm in all three dimensions. The LFC system integrates optical, microfluidic, and computational strategies to facilitate the volumetric visualization of various 3D subcellular characteristics through convenient access to commonly used epi-fluorescence platforms. We demonstrate the effectiveness of LFC in assaying, analyzing, and enumerating intricate subcellular morphology, function, and heterogeneity using various phantoms and biological specimens. The advancement offered by the LFC system presents a promising methodological pathway for broad cell biological and translational discoveries, with the potential for widespread adoption in biomedical research.","2024","2024-06-18 16:53:15","2024-06-18 16:53:15","","1975","","1","15","","","","","","","","","","","","","","","","","Publisher: Nature Publishing Group UK London PMID: 38438356","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ETLWRXIV","journalArticle","2024","Mandracchia, Biagio; Zheng, Corey; Rajendran, Suraj; Liu, Wenhao; Forghani, Parvin; Xu, Chunhui; Jia, Shu","High-speed optical imaging with sCMOS pixel reassignment","Nature communications","","20411723","10.1038/s41467-024-48987-7","","Fluorescence microscopy has undergone rapid advancements, offering unprecedented visualization of biological events and shedding light on the intricate mechanisms governing living organisms. However, the exploration of rapid biological dynamics still poses a significant challenge due to the limitations of current digital camera architectures and the inherent compromise between imaging speed and other capabilities. Here, we introduce sHAPR, a high-speed acquisition technique that leverages the operating principles of sCMOS cameras to capture fast cellular and subcellular processes. sHAPR harnesses custom fiber optics to convert microscopy images into one-dimensional recordings, enabling acquisition at the maximum camera readout rate, typically between 25 and 250 kHz. We have demonstrated the utility of sHAPR with a variety of phantom and dynamic systems, including high-throughput flow cytometry, cardiomyocyte contraction, and neuronal calcium waves, using a standard epi-fluorescence microscope. sHAPR is highly adaptable and can be integrated into existing microscopy systems without requiring extensive platform modifications. This method pushes the boundaries of current fluorescence imaging capabilities, opening up new avenues for investigating high-speed biological phenomena.","2024","2024-06-18 16:53:15","2024-06-18 16:53:15","","4598","","1","15","","","","","","","","","","","","","","","","","Publisher: Nature Publishing Group UK London PMID: 38816394","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PGA6AZ7P","document","2023","Jia, Shu; Mandracchia, Biagio","Microscopy with near-ideal sCMOS camera","","","","","","","2023","2024-06-18 16:53:16","2024-06-18 16:53:16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R7SFK43N","journalArticle","2023","Son, Jeonghwan; Mandracchia, Biagio; Silva Trenkle, Aaron D.; Kwong, Gabriel A; Jia, Shu","Portable light-sheet optofluidic microscopy for 3D fluorescence imaging flow cytometry","Lab on a Chip","","14730189","10.1039/d2lc01024k","","Imaging flow cytometry (IFC) combines conventional flow cytometry with optical microscopy, allowing for high-throughput, multi-parameter screening of single-cell specimens with morphological and spatial information. However, current 3D IFC systems are limited by instrumental complexity and incompatibility with available microfluidic devices or operations. Here, we report portable light-sheet optofluidic microscopy (PLSOM) for 3D fluorescence cytometric imaging. PLSOM exploits a compact, open-top light-sheet configuration compatible with commonly adopted microfluidic chips. The system offers a subcellular resolution (2-4 μm) in all three dimensions, high throughput (∼1000 cells per s), and portability (30 cm (l) × 10 cm (w) × 26 cm (h)). We demonstrated PLSOM for 3D IFC using various phantom and cell systems. The low-cost and custom-built architecture of PLSOM permits easy adaptability and dissemination for broad 3D flow cytometric investigations.","2023","2024-06-18 16:53:16","2024-06-18 16:53:16","","624–630","","4","23","","","","","","","","","","","","","","","","","Publisher: Royal Society of Chemistry PMID: 36633262","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VYKCAI62","journalArticle","2023","Yoon, Kyungduck; Han, Keyi; Tadesse, Kidan; Mandracchia, Biagio; Jia, Shu","Simultaneous multicolor imaging with multifocal scanning microscopy","Frontiers in Optics: Proceedings Frontiers in Optics + Laser Science 2023, FiO, LS 2023","","","10.1364/FIO.2023.FM5E.2","","We propose multifocal scanning microscopy for super-resolution fluorescence imaging to achieve simultaneous multi-color acquisition. Our system achieves two-fold improvement over the diffraction limit for both emission wavelengths through imaging phantoms and HeLa cells.","2023","2024-06-18 16:53:16","2024-06-18 16:53:16","","3035–3041","","9","10","","","","","","","","","","","","","","","","","ISBN: 9781957171296 Publisher: American Chemical Society","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CP8GNICM","journalArticle","2023","Mandracchia, Biagio; Liu, Wenhao; Hua, Xuanwen; Forghani, Parvin; Lee, Soojung; Hou, Jessica; Nie, Shuyi; Xu, Chunhui; Jia, Shu","Optimal sparsity allows reliable system-aware restoration of fluorescence microscopy images","Science Advances","","23752548","10.1126/sciadv.adg9245","","Fluorescence microscopy is one of the most indispensable and informative driving forces for biological research, but the extent of observable biological phenomena is essentially determined by the content and quality of the acquired images. To address the different noise sources that can degrade these images, we introduce an algorithm for multiscale image restoration through optimally sparse representation (MIRO). MIRO is a deterministic framework that models the acquisition process and uses pixelwise noise correction to improve image quality. Our study demonstrates that this approach yields a remarkable restoration of the fluorescence signal for a wide range of microscopy systems, regardless of the detector used (e.g., electron-multiplying charge-coupled device, scientific complementary metal-oxide semiconductor, or photomultiplier tube). MIRO improves current imaging capabilities, enabling fast, low-light optical microscopy, accurate image analysis, and robust machine intelligence when integrated with deep neural networks. This expands the range of biological knowledge that can be obtained from fluorescence microscopy.","2023","2024-06-18 16:53:16","2024-06-18 16:53:16","","eadg9245","","35","9","","","","","","","","","","","","","","","","","Publisher: American Association for the Advancement of Science PMID: 37647399","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VXVS5QD7","conferencePaper","2023","Son, Jeonghwan; Mandracchia, Biagio; Jia, Shu","Multicolor 3D-fluorescence imaging flow cytometry with portable light-sheet optofluidic microscopy","3D Image Acquisition and Display: Technology, Perception and Applications in Proceedings Optica Imaging Congress, 3D, COSI, DH, FLatOptics, IS, pcAOP 2023","978-1-957171-28-9","","10.1364/3D.2023.DTu2A.3","","Fluorescence imaging flow cytometry (IFC) has enriched both structural and functional information for diverse applications. We developed portable light-sheet optofluidic microscopy equipping simultaneous multicolor acquisition for high-throughput and multicolor 3D florescence IFC application.","2023","2024-06-18 16:53:16","2024-06-18 16:53:16","","DTu2A—-3","","","","","","","","","","","Optica Publishing Group","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"44F3ECV8","conferencePaper","2023","Son, Jeonghwan; Mandracchia, Biagio; Jia, Shu","Multicolor 3D-fluorescence imaging flow cytometry with portable light-sheet optofluidic microscopy","3D Image Acquisition and Display: Technology, Perception and Applications in Proceedings Optica Imaging Congress, 3D, COSI, DH, FLatOptics, IS, pcAOP 2023","978-1-957171-28-9","","10.1364/3D.2023.DTu2A.3","","Fluorescence imaging flow cytometry (IFC) has enriched both structural and functional information for diverse applications. We developed portable light-sheet optofluidic microscopy equipping simultaneous multicolor acquisition for high-throughput and multicolor 3D florescence IFC application.","2023","2024-06-18 16:53:16","2024-06-18 16:53:16","","JM4A—-76","","","","","","","","","","","Optica Publishing Group","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E2G7FXB8","conferencePaper","2023","Hua, Xuanwen; Han, Keyi; Jia, Shu","3D Imaging Flow Cytometry with High-Resolution Light-Field Microscopy","3D Image Acquisition and Display: Technology, Perception and Applications in Proceedings Optica Imaging Congress, 3D, COSI, DH, FLatOptics, IS, pcAOP 2023","978-1-957171-28-9","","10.1364/3D.2023.DTu2A.5","","We developed a new 3D imaging flow cytometer with microfluidics and high-resolution light-field microscopy for single-cell studies. We demonstrated a near-diffraction-limited spatial resolution and a throughput of up to 10,000 objects per second.","2023","2024-06-18 16:53:16","2024-06-18 16:53:16","","JW4A—-29","","","","","","","","","","","Optica Publishing Group","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49URSI4S","conferencePaper","2023","Ling, Zhi; Liu, Wenhao; Mandracchia, Biagio; Hou, Jessica; Nie, Shuyi; Jia, Shu","Enhanced Volumetric Reconstruction in Fourier Light-Field Microscopy through Denoising-Sparse Decomposition","Frontiers in Optics: Proceedings Frontiers in Optics + Laser Science 2023, FiO, LS 2023","978-1-957171-29-6","","10.1364/FIO.2023.FTh3D.4","","We propose a denoising-sparse decomposition method for Fourier light-field microscopy to separate signals with different periodicity in complex biological samples. This process allows for enhanced volumetric reconstruction and accurate image analysis.","2023","2024-06-18 16:53:16","2024-06-18 16:53:16","","FTh3D—-4","","","","","","","","","","","Optica Publishing Group","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
