Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Pesce, Giuseppe; Mandracchia, B; Orabona, E; Rusciano, Giulia; De Stefano, L; Sasso, Antonio; ",Local electric field measurements by optical tweezers,"Atti della Accademia Peloritana dei Pericolanti-Classe di Scienze Fisiche, Matematiche e Naturali",89,S1,,2011,
"Pesce, Giuseppe; Mandracchia, Biagio; Orabona, Emanuele; Rusciano, Giulia; De Stefano, Luca; Sasso, Antonio; ",Mapping electric fields generated by microelectrodes using optically trapped charged microspheres,Lab on a Chip,11,23,4113-4116,2011,Royal Society of Chemistry
"Coppola, Sara; Vespini, Veronica; Merola, Francesco; Mandracchia, Biagio; Grilli, Simonetta; Ferraro, Pietro; ",Unusual 3D lithography approaches for fabrication of polymeric photonic microstructures,Optical Components and Materials XI,8982,,140-151,2014,SPIE
"Coppola, S; Mandracchia, B; Nasti, G; Vespini, V; Pareo, P; Carbone, L; Manca, M; Gigli, G; Ferraro, P; ",Polymer self-assembling of light converting microlenses arrays,Micro-Optics 2014,9130,,173-179,2014,SPIE
"Mandracchia, B; Pagliarulo, V; Paturzo, M; Ferraro, P; ",Surface plasmon resonance imaging by holographic enhanced mapping,Analytical chemistry,87,8,4124-4128,2015,American Chemical Society
"Coppola, Sara; Nasti, Giuseppe; Mandracchia, Biagio; Vespini, Veronica; Grilli, Simonetta; Pagliarulo, Vito; Pareo, Paola; Manca, Michele; Carbone, Luigi; Gigli, Giuseppe; ",Twofold self-assembling of nanocrystals into nanocomposite polymer,IEEE Journal of Selected Topics in Quantum Electronics,22,1,1-7,2015,IEEE
"Mandracchia, Biagio; Finizio, Andrea; Ferraro, Pietro; ",Cataract Vision Mimicked By Means Of Protein Denaturation In Egg Albumen,arXiv preprint arXiv:1509.04436,,,,2015,
"Mandracchia, B; Finizio, A; Ferraro, P; ",Mimicking cataract-induced visual dysfunction by means of protein denaturation in egg albumen,Ophthalmic Technologies XXVI,9693,,196-201,2016,SPIE
"Mandracchia, B; Pagliarulo, V; Paturzo, M; Ferraro, P; ",Through-the-objective holographic surface plasmon resonance imaging for quantitative measurement of thin film thickness,Quantitative Phase Imaging II,9718,,345-350,2016,SPIE
"Mandracchia, Biagio; Gennari, Oriella; Marchesano, Valentina; Paturzo, Melania; Ferraro, Pietro; ",Label free imaging of cell‐substrate contacts by holographic total internal reflection microscopy,Journal of biophotonics,10,9,1163-1170,2017,WILEY‐VCH Verlag Weinheim
"Coppola, Sara; Vespini, Veronica; Olivieri, Federico; Nasti, Giuseppe; Todino, Michele; Mandracchia, Biagio; Pagliarulo, Vito; Ferraro, Pietro; ",Direct self-assembling and patterning of semiconductor quantum dots on transferable elastomer layer,Applied Surface Science,399,,160-166,2017,North-Holland
"Bianco, Vittorio; Mandracchia, Biagio; Marchesano, Valentina; Pagliarulo, Vito; Olivieri, Federico; Coppola, Sara; Paturzo, Melania; Ferraro, Pietro; ",Endowing a plain fluidic chip with micro-optics: a holographic microscope slide,Light: Science & Applications,6,9,e17055-e17055,2017,Nature Publishing Group
"Mandracchia, Biagio; ",Looking at the Interface: Novel Microscopy Techniques for Quantitative Phase Imaging of Total Internal Reflection,,,,,2017,"University of Naples ""Federico II""; Institute of Applied Sciences and …"
"Mandracchia, B; Gennari, O; Paturzo, M; Grilli, S; Ferraro, P; ",Label-free investigation of the effects of lithium niobate polarization on cell adhesion,"Optical Methods for Inspection, Characterization, and Imaging of Biomaterials III",10333,,133-139,2017,SPIE
"Wang, Z; Mandracchia, Biagio; Ferraro, V; Tammaro, D; Di Maio, E; Maffettone, PL; Ferraro, P; ",Interferometric measurement of film thickness during bubble blowing,"Optical Methods for Inspection, Characterization, and Imaging of Biomaterials III",10333,,270-275,2017,SPIE
"Mandracchia, B; Bianco, V; Wang, Z; Paturzo, M; Bramanti, A; Pioggia, G; Ferraro, P; ",A pocket device for high-throughput optofluidic holographic microscopy,"Optical Methods for Inspection, Characterization, and Imaging of Biomaterials III",10333,,126-132,2017,SPIE
"Bianco, V; Mandracchia, B; Nazzaro, F; Marchesano, V; Gennari, O; Paturzo, M; Grilli, S; Ferraro, P; ",Food quality inspection by speckle decorrelation properties of bacteria colonies,"Optical Methods for Inspection, Characterization, and Imaging of Biomaterials III",10333,,264-269,2017,SPIE
"Mandracchia, Biagio; Bianco, Vittorio; Wang, Zhe; Mugnano, Martina; Bramanti, Alessia; Paturzo, Melania; Ferraro, Pietro; ",Holographic microscope slide in a spatio-temporal imaging modality for reliable 3D cell counting,Lab on a Chip,17,16,2831-2838,2017,Royal Society of Chemistry
"Bianco, V; Mandracchia, B; Wang, Z; Paturzo, M; Bramanti, A; Pioggia, G; Ferraro, P; ",High-throughput label-free optofluidic imaging and 3D tracking using a pocket holographic microscope slide,European Conference on Biomedical Optics,,,1041307,2017,Optica Publishing Group
"Mandracchia, Biagio; Paturzo, Melania; Ferraro, Pietro; ",Quantitative Phase Imaging by Evanescent Wave Microscopy,Frontiers in Optics 2017,,,,2017,
"Biagio Mandracchia, Vittorio Bianco, Zhe Wang, Melania Paturzo, and Pietro Ferraro; ",Compact Module for High-Throughput Label-Free Imaging with Custom Field of View,Frontiers in Optics 2017,,,,2017,
"Biagio Mandracchia, Vittorio Bianco, Melania Paturzo, and Pietro Ferraro; ",Holographic Microscope Slide for Single Beam Off-Axis Digital Holography Microscopy,Frontiers in Optics 2017,,,,2017,
"Mandracchia, B; Bianco, V; Wang, Z; Paturzo, M; Bramanti, A; Pioggia, G; Ferraro, P; ",Pocket module for single beam off-axis digital holography microscopy,The European Conference on Lasers and Electro-Optics,,,CL_2_2,2017,Optica Publishing Group
